header,is_outcome,is_group_attribute,type,ordering
IncomeOver50K,TRUE,FALSE,numeric,NA
Race,FALSE,TRUE,categorical,NA
Sex,FALSE,TRUE,categorical,NA
Immigrant,FALSE,TRUE,boolean,NA
MaritalStatus,FALSE,TRUE,categorical,NA
NoCapital,FALSE,FALSE,numeric,NA
AnyCapitalGain,FALSE,FALSE,numeric,NA
AnyCapitalLoss,FALSE,FALSE,numeric,NA
Age_leq_20,FALSE,FALSE,boolean,NA
Age_geq_21,FALSE,FALSE,boolean,NA
Age_geq_30,FALSE,FALSE,boolean,NA
Age_geq_45,FALSE,FALSE,boolean,NA
Age_geq_60,FALSE,FALSE,boolean,NA
WorkHrs_lt_40,FALSE,FALSE,boolean,NA
WorkHrs_geq_40,FALSE,FALSE,boolean,NA
WorkHrs_geq_50,FALSE,FALSE,boolean,NA
WorkHrs_geq_60,FALSE,FALSE,boolean,NA
Industry_is_Private,FALSE,FALSE,boolean,NA
Industry_is_Government,FALSE,FALSE,boolean,NA
Industry_is_SelfEmployed,FALSE,FALSE,boolean,NA
Job_is_WhiteCollar,FALSE,FALSE,boolean,NA
Job_is_PinkCollar,FALSE,FALSE,boolean,NA
Job_is_BlueCollar,FALSE,FALSE,boolean,NA
Job_is_Specialized,FALSE,FALSE,boolean,NA
Job_is_ArmedOrProtective,FALSE,FALSE,boolean,NA
Education_is_HsGrad,FALSE,FALSE,boolean,NA
Education_is_Associates,FALSE,FALSE,boolean,NA
Education_is_ProfDegree,FALSE,FALSE,boolean,NA
Education_is_MastersOrPhD,FALSE,FALSE,boolean,NA
