id_original,id_fold_prevalence
1,4
2,1
3,2
4,2
5,4
6,3
7,5
8,2
9,1
10,5
11,3
12,4
13,1
14,5
15,2
16,4
17,4
18,4
19,5
20,5
21,4
22,4
23,4
24,4
25,2
26,5
27,5
28,2
29,4
30,4
31,3
32,5
33,4
34,5
35,3
36,4
37,4
38,4
39,2
40,3
41,5
42,5
43,2
44,4
45,5
46,4
47,4
48,5
49,4
50,3
51,1
52,2
53,1
54,3
55,5
56,4
57,5
58,2
59,2
60,3
61,3
62,4
63,4
64,4
65,5
66,4
67,1
68,2
69,4
70,1
71,5
72,4
73,5
74,4
75,5
76,5
77,5
78,4
79,5
80,4
81,3
82,4
83,4
84,3
85,2
86,2
87,2
88,4
89,4
90,2
91,4
92,1
93,3
94,4
95,1
96,5
97,1
98,4
99,3
100,4
101,3
102,5
103,5
104,4
105,5
106,5
107,2
108,3
109,1
110,1
111,1
112,4
113,2
114,4
115,1
116,3
117,5
118,4
119,3
120,2
121,5
122,3
123,4
124,1
125,3
126,4
127,1
128,2
129,5
130,5
131,5
132,4
133,2
134,3
135,2
136,4
137,4
138,3
139,4
140,1
141,5
142,5
143,5
144,3
145,4
146,4
147,1
148,2
149,3
150,3
151,1
152,5
153,4
154,1
155,2
156,5
157,5
158,2
159,5
160,3
161,3
162,3
163,2
164,4
165,3
166,5
167,5
168,4
169,4
170,1
171,5
172,2
173,1
174,2
175,1
176,5
177,5
178,4
179,5
180,5
181,5
182,5
183,3
184,5
185,1
186,1
187,3
188,3
189,3
190,5
191,4
192,4
193,3
194,5
195,1
196,3
197,2
198,2
199,2
200,3
201,4
202,5
203,3
204,4
205,3
206,2
207,1
208,1
209,5
210,4
211,3
212,5
213,4
214,5
215,2
216,2
217,3
218,1
219,1
220,1
221,4
222,4
223,4
224,2
225,1
226,5
227,3
228,1
229,3
230,3
231,4
232,4
233,2
234,2
235,1
236,3
237,5
238,4
239,5
240,1
241,2
242,2
243,3
244,5
245,3
246,4
247,4
248,5
249,3
250,5
251,1
252,5
253,5
254,4
255,1
256,4
257,2
258,4
259,5
260,2
261,4
262,1
263,5
264,3
265,4
266,5
267,4
268,1
269,2
270,2
271,1
272,5
273,5
274,4
275,2
276,4
277,1
278,2
279,4
280,4
281,3
282,5
283,3
284,3
285,1
286,5
287,1
288,4
289,4
290,2
291,5
292,5
293,5
294,5
295,4
296,3
297,4
298,1
299,3
300,5
301,5
302,4
303,4
304,3
305,4
306,1
307,4
308,2
309,2
310,5
311,5
312,5
313,4
314,3
315,2
316,1
317,3
318,5
319,4
320,4
321,1
322,2
323,4
324,3
325,4
326,5
327,5
328,4
329,4
330,4
331,4
332,2
333,5
334,4
335,5
336,1
337,5
338,2
339,2
340,2
341,5
342,2
343,5
344,4
345,2
346,5
347,5
348,3
349,5
350,4
351,4
352,5
353,4
354,1
355,5
356,3
357,4
358,4
359,2
360,2
361,4
362,2
363,5
364,4
365,5
366,3
367,4
368,4
369,1
370,4
371,1
372,5
373,2
374,3
375,4
376,1
377,4
378,4
379,4
380,4
381,5
382,5
383,4
384,4
385,1
386,3
387,4
388,3
389,1
390,2
391,2
392,3
393,2
394,1
395,2
396,2
397,5
398,2
399,1
400,3
401,4
402,2
403,3
404,5
405,2
406,2
407,5
408,4
409,1
410,1
411,5
412,1
413,5
414,4
415,1
416,1
417,2
418,2
419,4
420,4
421,4
422,2
423,5
424,4
425,4
426,2
427,2
428,4
429,3
430,4
431,5
432,5
433,5
434,2
435,5
436,5
437,5
438,4
439,5
440,1
441,3
442,4
443,5
444,3
445,3
446,5
447,2
448,1
449,4
450,5
451,4
452,5
453,2
454,2
455,5
456,5
457,4
458,5
459,5
460,5
461,4
462,5
463,5
464,1
465,5
466,4
467,4
468,1
469,1
470,3
471,1
472,4
473,4
474,3
475,5
476,2
477,2
478,4
479,2
480,5
481,4
482,4
483,5
484,3
485,5
486,1
487,4
488,4
489,4
490,4
491,1
492,4
493,5
494,5
495,4
496,1
497,1
498,3
499,1
500,3
501,4
502,4
503,4
504,5
505,4
506,1
507,2
508,3
509,1
510,4
511,5
512,5
513,5
514,3
515,2
516,5
517,2
518,4
519,4
520,2
521,1
522,5
523,5
524,2
525,1
526,5
527,3
528,4
529,2
530,4
531,3
532,2
533,4
534,3
535,4
536,2
537,1
538,2
539,5
540,4
541,1
542,4
543,5
544,5
545,5
546,4
547,1
548,4
549,4
550,4
551,4
552,2
553,4
554,4
555,5
556,2
557,5
558,1
