RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
1,"(-inf, 59.50)","[134.50, 147.50)","[1.50, 9.50)","[81.50, 97.50)","[17.50, 21.50)","[2.50, inf)","(-inf, 0.50)","[69.50, 83.50)","(-inf, 3.50)","(-inf, 5.50)","[2.50, 5.50)","[21.50, 27.50)","[0.50, 1.50)","[42.50, 46.50)","(-inf, 0.50)","(-inf, 0.50)","(-inf, 0.50)","[31.50, 37.50)",Special,"[7.50, 9.50)","(-inf, 1.50)","[0.50, 1.50)","[68.50, 73.50)"
1,"[59.50, 63.50)","(-inf, 62.50)","[9.50, 19.50)","[30.50, 41.50)","(-inf, 5.50)","[2.50, inf)","[1.50, inf)","[97.50, inf)",Special,"(-inf, 5.50)","[6.50, inf)","(-inf, 8.50)","(-inf, 0.50)","[59.50, inf)","(-inf, 0.50)","(-inf, 0.50)","(-inf, 0.50)","(-inf, 6.50)",Special,"(-inf, 2.50)",Special,Special,"(-inf, 32.50)"
1,"[65.50, 67.50)","[62.50, 91.50)","[1.50, 9.50)","(-inf, 30.50)","[8.50, 11.50)","(-inf, 0.50)","(-inf, 0.50)","[97.50, inf)",Special,"[6.50, inf)","[6.50, inf)","[8.50, 11.50)","[3.50, 4.50)","[42.50, 46.50)","(-inf, 0.50)","[3.50, inf)","[3.50, inf)","[47.50, 59.50)","[64.50, 71.50)","[3.50, 4.50)","[1.50, 2.50)","[0.50, 1.50)","[80.50, 87.50)"
1,"[65.50, 67.50)","[147.50, 169.50)","(-inf, 1.50)","[69.50, 74.50)","[24.50, 31.50)","[0.50, 1.50)","[0.50, 1.50)","[91.50, 95.50)","[46.50, inf)","[5.50, 6.50)","[5.50, 6.50)","[27.50, 41.50)","[2.50, 3.50)","[52.50, 59.50)","(-inf, 0.50)","[3.50, inf)","[3.50, inf)","[59.50, 78.50)","[71.50, 85.50)","[5.50, 7.50)","[3.50, 4.50)","[2.50, 3.50)","[87.50, 98.00)"
1,"[80.50, 84.50)","[263.50, 383.50)","[19.50, inf)","[116.50, inf)","[11.50, 13.50)","(-inf, 0.50)","(-inf, 0.50)","[97.50, inf)",Special,"[6.50, inf)","[6.50, inf)","[11.50, 13.50)","(-inf, 0.50)","[24.50, 28.50)","(-inf, 0.50)","[0.50, 1.50)","[0.50, 1.50)","[47.50, 59.50)","[85.50, inf)","[2.50, 3.50)","(-inf, 1.50)","(-inf, 0.50)","[75.50, 80.50)"
1,"(-inf, 59.50)","[134.50, 147.50)","[9.50, 19.50)","[74.50, 81.50)","[24.50, 31.50)","(-inf, 0.50)","(-inf, 0.50)","[88.50, 91.50)","(-inf, 3.50)","(-inf, 5.50)","[5.50, 6.50)","[27.50, 41.50)","[0.50, 1.50)","[46.50, 52.50)","(-inf, 0.50)","(-inf, 0.50)","(-inf, 0.50)","[59.50, 78.50)","[85.50, inf)","[9.50, inf)","[3.50, 4.50)","[2.50, 3.50)","[87.50, 98.00)"
0,"(-inf, 59.50)","[62.50, 91.50)","[1.50, 9.50)","[30.50, 41.50)","[24.50, 31.50)","(-inf, 0.50)","(-inf, 0.50)","[91.50, 95.50)","[8.50, 17.50)","(-inf, 5.50)","[5.50, 6.50)","[21.50, 27.50)","[2.50, 3.50)","[52.50, 59.50)","(-inf, 0.50)","[3.50, inf)","[3.50, inf)","[78.50, inf)","[71.50, 85.50)","[5.50, 7.50)","[4.50, inf)","[1.50, 2.50)","[98.00, inf)"
0,"[67.50, 70.50)","[147.50, 169.50)","[1.50, 9.50)","[64.50, 69.50)","[13.50, 17.50)","(-inf, 0.50)","(-inf, 0.50)","[69.50, 83.50)","[17.50, 31.50)","[5.50, 6.50)","[5.50, 6.50)","[17.50, 21.50)","[0.50, 1.50)","[42.50, 46.50)","(-inf, 0.50)","(-inf, 0.50)","(-inf, 0.50)","[23.50, 31.50)","[33.50, 64.50)","(-inf, 2.50)","[1.50, 2.50)","[1.50, 2.50)","[32.50, 48.50)"
1,"(-inf, 59.50)","[263.50, 383.50)","[1.50, 9.50)","[116.50, inf)","[21.50, 24.50)","(-inf, 0.50)","(-inf, 0.50)","[83.50, 88.50)","[3.50, 8.50)","(-inf, 5.50)","[5.50, 6.50)","[21.50, 27.50)","[0.50, 1.50)","[24.50, 28.50)","(-inf, 0.50)","[0.50, 1.50)","[0.50, 1.50)","[59.50, 78.50)",Special,"[5.50, 7.50)","(-inf, 1.50)","[2.50, 3.50)","[87.50, 98.00)"
1,"[59.50, 63.50)","[62.50, 91.50)","[1.50, 9.50)","[30.50, 41.50)","[17.50, 21.50)","(-inf, 0.50)","(-inf, 0.50)","[91.50, 95.50)","[3.50, 8.50)","(-inf, 5.50)","[5.50, 6.50)","[17.50, 21.50)","[2.50, 3.50)","[24.50, 28.50)","(-inf, 0.50)","[3.50, inf)","[3.50, inf)","[23.50, 31.50)","[85.50, inf)","[4.50, 5.50)","[2.50, 3.50)","[0.50, 1.50)","[60.50, 66.50)"
0,"[80.50, 84.50)","[91.50, 119.50)","[1.50, 9.50)","[41.50, 48.50)","[13.50, 17.50)","(-inf, 0.50)","(-inf, 0.50)","[97.50, inf)",Special,"[6.50, inf)","[6.50, inf)","[13.50, 17.50)","[2.50, 3.50)","[28.50, 35.50)","(-inf, 0.50)","(-inf, 0.50)","(-inf, 0.50)","[14.50, 23.50)","[85.50, inf)","[3.50, 4.50)","[1.50, 2.50)","(-inf, 0.50)","[66.50, 68.50)"
