RiskPerformance,GroupTrades,ExternalRiskEstimate_X_59_50__63_50_,ExternalRiskEstimate_X_63_50__65_50_,ExternalRiskEstimate_X_65_50__67_50_,ExternalRiskEstimate_X_67_50__70_50_,ExternalRiskEstimate_X_70_50__73_50_,ExternalRiskEstimate_X_73_50__75_50_,ExternalRiskEstimate_X_75_50__78_50_,ExternalRiskEstimate_X_78_50__80_50_,ExternalRiskEstimate_X_80_50__84_50_,ExternalRiskEstimate_X_84_50__87_50_,ExternalRiskEstimate_X_87_50__inf_,ExternalRiskEstimate_Special,MSinceOldestTradeOpen_X_119_50__134_50_,MSinceOldestTradeOpen_X_134_50__147_50_,MSinceOldestTradeOpen_X_147_50__169_50_,MSinceOldestTradeOpen_X_169_50__184_50_,MSinceOldestTradeOpen_X_184_50__216_50_,MSinceOldestTradeOpen_X_216_50__263_50_,MSinceOldestTradeOpen_X_263_50__383_50_,MSinceOldestTradeOpen_X_383_50__inf_,MSinceOldestTradeOpen_X_62_50__91_50_,MSinceOldestTradeOpen_X_91_50__119_50_,MSinceOldestTradeOpen_Special,MSinceMostRecentTradeOpen_X_1_50__9_50_,MSinceMostRecentTradeOpen_X_19_50__inf_,MSinceMostRecentTradeOpen_X_9_50__19_50_,MSinceMostRecentTradeOpen_Special,AverageMInFile_X_116_50__inf_,AverageMInFile_X_30_50__41_50_,AverageMInFile_X_41_50__48_50_,AverageMInFile_X_48_50__54_50_,AverageMInFile_X_54_50__64_50_,AverageMInFile_X_64_50__69_50_,AverageMInFile_X_69_50__74_50_,AverageMInFile_X_74_50__81_50_,AverageMInFile_X_81_50__97_50_,AverageMInFile_X_97_50__116_50_,AverageMInFile_Special,NumSatisfactoryTrades_X_11_50__13_50_,NumSatisfactoryTrades_X_13_50__17_50_,NumSatisfactoryTrades_X_17_50__21_50_,NumSatisfactoryTrades_X_21_50__24_50_,NumSatisfactoryTrades_X_24_50__31_50_,NumSatisfactoryTrades_X_31_50__38_50_,NumSatisfactoryTrades_X_38_50__inf_,NumSatisfactoryTrades_X_5_50__8_50_,NumSatisfactoryTrades_X_8_50__11_50_,NumSatisfactoryTrades_Special,NumTrades60Ever2DerogPubRec_X_0_50__1_50_,NumTrades60Ever2DerogPubRec_X_1_50__2_50_,NumTrades60Ever2DerogPubRec_X_2_50__inf_,NumTrades60Ever2DerogPubRec_Special,NumTrades90Ever2DerogPubRec_X_0_50__1_50_,NumTrades90Ever2DerogPubRec_X_1_50__inf_,NumTrades90Ever2DerogPubRec_Special,PercentTradesNeverDelq_X_69_50__83_50_,PercentTradesNeverDelq_X_83_50__88_50_,PercentTradesNeverDelq_X_88_50__91_50_,PercentTradesNeverDelq_X_91_50__95_50_,PercentTradesNeverDelq_X_95_50__97_50_,PercentTradesNeverDelq_X_97_50__inf_,PercentTradesNeverDelq_Special,MSinceMostRecentDelq_X_17_50__31_50_,MSinceMostRecentDelq_X_3_50__8_50_,MSinceMostRecentDelq_X_31_50__46_50_,MSinceMostRecentDelq_X_46_50__inf_,MSinceMostRecentDelq_X_8_50__17_50_,MSinceMostRecentDelq_Special,MaxDelq2PublicRecLast12M_X_5_50__6_50_,MaxDelq2PublicRecLast12M_X_6_50__inf_,MaxDelq2PublicRecLast12M_Special,MaxDelqEver_X_2_50__5_50_,MaxDelqEver_X_5_50__6_50_,MaxDelqEver_X_6_50__inf_,MaxDelqEver_Special,NumTradesOpeninLast12M_X_0_50__1_50_,NumTradesOpeninLast12M_X_1_50__2_50_,NumTradesOpeninLast12M_X_2_50__3_50_,NumTradesOpeninLast12M_X_3_50__4_50_,NumTradesOpeninLast12M_X_4_50__inf_,NumTradesOpeninLast12M_Special,PercentInstallTrades_X_24_50__28_50_,PercentInstallTrades_X_28_50__35_50_,PercentInstallTrades_X_35_50__42_50_,PercentInstallTrades_X_42_50__46_50_,PercentInstallTrades_X_46_50__52_50_,PercentInstallTrades_X_52_50__59_50_,PercentInstallTrades_X_59_50__inf_,PercentInstallTrades_Special,MSinceMostRecentInqexcl7days_X_0_50__1_50_,MSinceMostRecentInqexcl7days_X_1_50__10_50_,MSinceMostRecentInqexcl7days_X_10_50__inf_,MSinceMostRecentInqexcl7days_Special,NumInqLast6M_X_0_50__1_50_,NumInqLast6M_X_1_50__3_50_,NumInqLast6M_X_3_50__inf_,NumInqLast6M_Special,NumInqLast6Mexcl7days_X_0_50__1_50_,NumInqLast6Mexcl7days_X_1_50__2_50_,NumInqLast6Mexcl7days_X_2_50__3_50_,NumInqLast6Mexcl7days_X_3_50__inf_,NumInqLast6Mexcl7days_Special,NetFractionRevolvingBurden_X_14_50__23_50_,NetFractionRevolvingBurden_X_23_50__31_50_,NetFractionRevolvingBurden_X_31_50__37_50_,NetFractionRevolvingBurden_X_37_50__47_50_,NetFractionRevolvingBurden_X_47_50__59_50_,NetFractionRevolvingBurden_X_59_50__78_50_,NetFractionRevolvingBurden_X_6_50__14_50_,NetFractionRevolvingBurden_X_78_50__inf_,NetFractionRevolvingBurden_Special,NetFractionInstallBurden_X_33_50__64_50_,NetFractionInstallBurden_X_64_50__71_50_,NetFractionInstallBurden_X_71_50__85_50_,NetFractionInstallBurden_X_85_50__inf_,NetFractionInstallBurden_Special,NumRevolvingTradesWBalance_X_2_50__3_50_,NumRevolvingTradesWBalance_X_3_50__4_50_,NumRevolvingTradesWBalance_X_4_50__5_50_,NumRevolvingTradesWBalance_X_5_50__7_50_,NumRevolvingTradesWBalance_X_7_50__9_50_,NumRevolvingTradesWBalance_X_9_50__inf_,NumRevolvingTradesWBalance_Special,NumInstallTradesWBalance_X_1_50__2_50_,NumInstallTradesWBalance_X_2_50__3_50_,NumInstallTradesWBalance_X_3_50__4_50_,NumInstallTradesWBalance_X_4_50__inf_,NumInstallTradesWBalance_Special,NumBank2NatlTradesWHighUtilization_X_0_50__1_50_,NumBank2NatlTradesWHighUtilization_X_1_50__2_50_,NumBank2NatlTradesWHighUtilization_X_2_50__3_50_,NumBank2NatlTradesWHighUtilization_X_3_50__inf_,NumBank2NatlTradesWHighUtilization_Special,PercentTradesWBalance_X_32_50__48_50_,PercentTradesWBalance_X_48_50__60_50_,PercentTradesWBalance_X_60_50__66_50_,PercentTradesWBalance_X_66_50__68_50_,PercentTradesWBalance_X_68_50__73_50_,PercentTradesWBalance_X_73_50__75_50_,PercentTradesWBalance_X_75_50__80_50_,PercentTradesWBalance_X_80_50__87_50_,PercentTradesWBalance_X_87_50__98_00_,PercentTradesWBalance_X_98_00__inf_,PercentTradesWBalance_Special
-1,Thick,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-1,Thin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-1,Thin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-1,Thick,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
-1,Thin,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-1,Thick,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,Thick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,Thin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-1,Thick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
-1,Thin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,Thin,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
