id_original,id_fold_prevalence
1,4
2,2
3,2
4,4
5,4
6,5
7,1
8,1
9,5
10,5
11,5
12,5
13,1
14,3
15,5
16,4
17,4
18,5
19,1
20,3
21,4
22,5
23,3
24,2
25,5
26,4
27,1
28,3
29,5
30,2
31,3
32,5
33,4
34,3
35,3
36,5
37,5
38,5
39,4
40,3
41,3
42,5
43,5
44,4
45,5
46,4
47,1
48,2
49,1
50,5
51,1
52,4
53,2
54,5
55,5
56,4
57,2
58,4
59,4
60,5
61,4
62,4
63,4
64,4
65,4
66,3
67,3
68,1
69,4
70,1
71,5
72,2
73,4
74,4
75,4
76,4
77,5
78,4
79,4
80,1
81,3
82,1
83,5
84,2
85,3
86,4
87,5
88,5
89,3
90,1
91,2
92,1
93,5
94,5
95,1
96,1
97,2
98,4
99,4
100,1
101,5
102,2
103,2
104,2
105,4
106,5
107,3
108,3
109,1
110,1
111,3
112,1
113,4
114,5
115,1
116,3
117,5
118,5
119,3
120,4
121,2
122,4
123,4
124,5
125,5
126,5
127,4
128,5
129,5
130,5
131,1
132,3
133,4
134,4
135,5
136,4
137,4
138,3
139,1
140,3
141,5
142,5
143,5
144,4
145,4
146,5
147,5
148,4
149,4
150,2
151,2
152,1
153,5
154,5
155,4
156,2
157,4
158,3
159,2
160,1
161,1
162,5
163,2
164,5
165,4
166,2
167,4
168,3
169,4
170,2
171,1
172,3
173,1
174,1
175,1
176,5
177,3
178,4
179,2
180,5
181,4
182,5
183,4
184,2
185,2
186,1
187,4
188,3
189,1
190,2
191,1
192,4
193,5
194,3
195,3
196,5
197,4
198,3
199,4
200,5
201,5
202,1
203,1
204,5
205,4
206,5
207,1
208,1
209,4
210,4
211,5
212,4
213,5
214,3
215,2
216,4
217,5
218,2
219,1
220,1
221,5
222,1
223,2
224,1
225,1
226,4
227,4
228,2
229,5
230,4
231,2
232,5
233,4
234,5
235,1
236,1
237,3
238,5
239,4
240,1
241,5
242,5
243,5
244,3
245,5
246,4
247,3
248,4
249,5
250,4
251,1
252,4
253,2
254,4
255,4
256,3
257,5
258,2
259,5
260,4
261,5
262,2
263,1
264,5
265,5
266,3
267,5
268,4
269,2
270,3
271,2
272,4
273,4
274,5
275,5
276,5
277,1
278,5
279,4
280,2
281,4
282,4
283,4
284,3
285,2
286,5
287,4
288,5
289,5
290,3
291,1
292,5
293,2
294,1
295,1
296,4
297,5
298,2
299,5
300,3
301,4
302,4
303,5
304,3
305,3
306,4
307,3
308,4
309,5
310,3
311,3
312,3
313,2
314,4
315,3
316,1
317,4
318,3
319,2
320,1
321,2
322,4
323,1
324,2
325,3
326,3
327,5
328,3
329,5
330,3
331,3
332,4
333,1
334,5
335,3
336,2
337,5
338,4
339,4
340,5
341,2
342,5
343,5
344,5
345,5
346,5
347,5
348,3
349,5
350,1
351,3
352,3
353,4
354,2
355,5
356,5
357,1
358,2
359,4
360,5
361,3
362,4
363,4
364,5
365,5
366,4
367,3
368,3
369,1
370,1
371,1
372,4
373,5
374,3
375,4
376,2
377,1
378,1
379,4
380,4
381,5
382,5
383,5
384,5
385,5
386,4
387,1
388,5
389,2
390,4
391,2
392,5
393,4
394,1
395,3
396,3
397,1
398,1
399,1
400,5
401,3
402,5
403,1
404,3
405,5
406,3
407,1
408,5
409,1
410,1
411,1
412,2
413,3
414,5
415,2
416,1
417,2
418,4
419,3
420,5
421,4
422,4
423,5
424,4
425,5
426,4
