GoodCustomer,Gender,ForeignWorker,Single,HasTelephone,CheckingAccountBalance_geq_0,CheckingAccountBalance_geq_200,SavingsAccountBalance_geq_100,SavingsAccountBalance_geq_500,MissedPayments,NoCurrentLoan,CriticalAccountOrLoansElsewhere,OtherLoansAtBank,HasCoapplicant,HasGuarantor,OwnsHouse,RentsHouse,Unemployed,YearsAtCurrentJob_lt_1,YearsAtCurrentJob_geq_4,JobClassIsSkilled,Age_leq_20,Age_geq_21,Age_geq_30,Age_geq_45,Age_geq_60,PurposeOfLoan_is_Business,PurposeOfLoan_is_Electronics,PurposeOfLoan_is_Furniture,PurposeOfLoan_is_NewCar,PurposeOfLoan_is_Used,PurposeOfLoan_is_Other,LoanDuration_leq_10,LoanDuration_geq_11,LoanDuration_geq_21,LoanDuration_geq_31,LoanDuration_geq_41,LoanAmount_leq_1000,LoanAmount_geq_1001,LoanAmount_geq_2001,LoanAmount_geq_3001,LoanAmount_geq_5001,LoanAmount_geq_10001,LoanRateAsPercentOfIncome_is_1,LoanRateAsPercentOfIncome_is_2,LoanRateAsPercentOfIncome_is_3,LoanRateAsPercentOfIncome_is_4,YearsAtCurrentHome_is_1,YearsAtCurrentHome_is_2,YearsAtCurrentHome_is_3,YearsAtCurrentHome_is_4,NumberOfOtherLoansAtBank_is_1,NumberOfOtherLoansAtBank_geq_2,NumberOfLiableIndividuals_is_1,NumberOfLiableIndividuals_is_2
1,Male,No,Yes,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
-1,Female,No,No,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
1,Male,No,Yes,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1,Male,No,Yes,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
-1,Male,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
1,Male,No,Yes,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1,Male,No,Yes,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
1,Male,No,Yes,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
1,Male,No,No,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
-1,Male,No,No,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
