header,is_outcome,is_group_attribute,type,ordering
GoodCustomer,TRUE,FALSE,numeric,NA
Gender,FALSE,TRUE,categorical,NA
ForeignWorker,FALSE,TRUE,categorical,NA
Single,FALSE,TRUE,categorical,NA
HasTelephone,FALSE,FALSE,numeric,NA
CheckingAccountBalance_geq_0,FALSE,FALSE,numeric,NA
CheckingAccountBalance_geq_200,FALSE,FALSE,numeric,NA
SavingsAccountBalance_geq_100,FALSE,FALSE,numeric,NA
SavingsAccountBalance_geq_500,FALSE,FALSE,numeric,NA
MissedPayments,FALSE,FALSE,numeric,NA
NoCurrentLoan,FALSE,FALSE,numeric,NA
CriticalAccountOrLoansElsewhere,FALSE,FALSE,numeric,NA
OtherLoansAtBank,FALSE,FALSE,numeric,NA
HasCoapplicant,FALSE,FALSE,numeric,NA
HasGuarantor,FALSE,FALSE,numeric,NA
OwnsHouse,FALSE,FALSE,numeric,NA
RentsHouse,FALSE,FALSE,numeric,NA
Unemployed,FALSE,FALSE,numeric,NA
YearsAtCurrentJob_lt_1,FALSE,FALSE,numeric,NA
YearsAtCurrentJob_geq_4,FALSE,FALSE,numeric,NA
JobClassIsSkilled,FALSE,FALSE,numeric,NA
Age_leq_20,FALSE,FALSE,boolean,NA
Age_geq_21,FALSE,FALSE,boolean,NA
Age_geq_30,FALSE,FALSE,boolean,NA
Age_geq_45,FALSE,FALSE,boolean,NA
Age_geq_60,FALSE,FALSE,boolean,NA
PurposeOfLoan_is_Business,FALSE,FALSE,boolean,NA
PurposeOfLoan_is_Electronics,FALSE,FALSE,boolean,NA
PurposeOfLoan_is_Furniture,FALSE,FALSE,boolean,NA
PurposeOfLoan_is_NewCar,FALSE,FALSE,boolean,NA
PurposeOfLoan_is_Used,FALSE,FALSE,boolean,NA
PurposeOfLoan_is_Other,FALSE,FALSE,boolean,NA
LoanDuration_leq_10,FALSE,FALSE,boolean,NA
LoanDuration_geq_11,FALSE,FALSE,boolean,NA
LoanDuration_geq_21,FALSE,FALSE,boolean,NA
LoanDuration_geq_31,FALSE,FALSE,boolean,NA
LoanDuration_geq_41,FALSE,FALSE,boolean,NA
LoanAmount_leq_1000,FALSE,FALSE,boolean,NA
LoanAmount_geq_1001,FALSE,FALSE,boolean,NA
LoanAmount_geq_2001,FALSE,FALSE,boolean,NA
LoanAmount_geq_3001,FALSE,FALSE,boolean,NA
LoanAmount_geq_5001,FALSE,FALSE,boolean,NA
LoanAmount_geq_10001,FALSE,FALSE,boolean,NA
LoanRateAsPercentOfIncome_is_1,FALSE,FALSE,boolean,NA
LoanRateAsPercentOfIncome_is_2,FALSE,FALSE,boolean,NA
LoanRateAsPercentOfIncome_is_3,FALSE,FALSE,boolean,NA
LoanRateAsPercentOfIncome_is_4,FALSE,FALSE,boolean,NA
YearsAtCurrentHome_is_1,FALSE,FALSE,boolean,NA
YearsAtCurrentHome_is_2,FALSE,FALSE,boolean,NA
YearsAtCurrentHome_is_3,FALSE,FALSE,boolean,NA
YearsAtCurrentHome_is_4,FALSE,FALSE,boolean,NA
NumberOfOtherLoansAtBank_is_1,FALSE,FALSE,boolean,NA
NumberOfOtherLoansAtBank_geq_2,FALSE,FALSE,boolean,NA
NumberOfLiableIndividuals_is_1,FALSE,FALSE,boolean,NA
NumberOfLiableIndividuals_is_2,FALSE,FALSE,boolean,NA
