id_original,id_fold_prevalence
1,2
2,4
3,4
4,5
5,1
6,5
7,3
8,1
9,3
10,4
11,5
12,5
13,2
14,3
15,1
16,5
17,5
18,2
19,5
20,4
21,1
22,4
23,4
24,3
25,1
26,4
27,2
28,5
29,1
30,3
31,3
32,4
33,3
34,4
35,4
36,1
37,1
38,5
39,1
40,1
41,3
42,4
43,1
44,4
45,5
46,2
47,4
48,2
49,4
50,3
51,5
52,4
53,5
54,2
55,5
56,2
57,5
58,4
59,1
60,2
61,5
62,2
63,5
64,5
65,5
66,4
67,2
68,4
69,3
70,4
71,1
72,1
73,2
74,2
75,3
76,2
77,3
78,2
79,4
80,3
81,4
82,3
83,4
84,2
85,5
86,4
87,4
88,5
89,4
90,3
91,5
92,5
93,5
94,4
95,1
96,4
97,3
98,1
99,5
100,1
101,5
102,1
103,3
104,4
105,5
106,4
107,5
108,3
109,3
110,2
111,3
112,1
113,4
114,2
115,2
116,4
117,2
118,5
119,5
120,2
121,1
122,5
123,3
124,2
125,3
126,1
127,2
128,5
129,1
130,4
131,4
132,5
133,5
134,1
135,2
136,5
137,5
138,4
139,4
140,5
141,5
142,5
143,3
144,3
145,3
146,4
147,3
148,4
149,3
150,1
151,5
152,3
153,3
154,3
155,5
156,5
157,5
158,1
159,3
160,5
161,3
162,1
163,3
164,5
165,2
166,3
167,4
168,2
169,2
170,4
171,2
172,1
173,1
174,5
175,5
176,1
177,4
178,4
179,3
180,2
181,3
182,4
183,1
184,5
185,4
186,5
187,4
188,2
189,1
190,3
191,1
192,1
193,5
194,5
195,4
196,1
197,2
198,5
199,2
200,4
201,2
202,3
203,2
204,4
205,2
206,2
207,1
208,3
209,3
210,2
211,5
212,5
213,5
214,2
215,5
216,4
217,1
218,4
219,1
220,1
221,3
222,4
223,4
224,1
225,3
226,1
227,5
228,4
229,4
230,2
231,3
232,3
233,5
234,1
235,3
236,5
237,3
238,4
239,4
240,3
241,2
242,2
243,3
244,3
245,1
246,5
247,4
248,4
249,5
250,4
251,4
252,4
253,3
254,2
255,2
256,3
257,3
258,2
259,4
260,4
261,3
262,5
263,5
264,1
265,4
266,2
267,4
268,2
269,5
270,2
271,1
272,2
273,1
274,5
275,3
276,5
277,3
278,4
279,4
280,3
281,3
282,3
283,5
284,5
285,5
286,2
287,1
288,2
289,4
290,4
291,2
292,1
293,1
294,3
295,1
296,5
297,4
298,5
299,5
300,2
301,4
302,5
303,2
304,3
305,3
306,3
307,4
308,4
309,4
310,4
311,5
312,4
313,2
314,2
315,2
316,1
317,3
318,1
319,2
320,1
321,2
322,5
323,5
324,2
325,4
326,5
327,2
328,3
329,4
330,3
331,3
332,4
333,3
334,5
335,3
336,5
337,1
338,5
339,4
340,1
341,4
342,2
343,3
344,1
345,5
346,3
347,3
348,2
349,4
350,1
351,4
352,5
353,5
354,4
355,5
356,4
357,4
358,2
359,2
360,4
361,2
362,2
363,2
364,2
365,5
366,2
367,4
368,1
369,2
370,3
371,2
372,5
373,1
374,3
375,5
376,3
377,4
378,2
379,2
380,2
381,1
382,4
383,5
384,3
385,3
386,5
387,3
388,5
389,4
390,3
391,2
392,1
393,5
394,1
395,3
396,5
397,2
398,5
399,2
400,1
401,5
402,5
403,5
404,4
405,3
406,1
407,4
408,1
409,2
410,4
411,1
412,2
413,5
414,4
415,1
416,5
417,2
418,2
419,5
420,2
421,1
422,5
423,1
424,1
425,5
426,5
427,2
428,5
429,3
430,4
431,4
432,3
433,4
434,4
435,1
436,1
437,3
438,4
439,4
440,5
441,2
442,4
443,4
444,4
445,5
446,3
447,1
448,5
449,3
450,5
451,5
452,4
453,5
454,3
455,3
456,5
457,4
458,4
459,3
460,2
461,1
462,3
463,2
464,3
465,4
466,1
467,5
468,2
469,5
470,4
471,3
472,5
473,3
474,3
475,3
476,3
477,1
478,1
479,2
480,4
481,4
482,3
483,1
484,5
485,1
486,4
487,5
488,2
489,3
490,2
491,2
492,3
493,3
494,2
495,1
496,3
497,4
498,4
499,4
500,4
501,5
502,2
503,4
504,2
505,5
506,3
507,4
508,1
509,5
510,1
511,2
512,1
513,5
514,4
515,1
516,3
517,1
518,2
519,5
520,3
521,2
522,4
523,1
524,4
525,2
526,1
527,3
528,1
529,5
530,2
531,3
532,5
533,4
534,3
535,1
536,4
537,1
538,4
539,1
540,5
541,2
542,3
543,2
544,1
545,4
546,4
547,1
548,3
549,4
550,3
551,3
552,3
553,2
554,1
555,3
556,1
557,5
558,5
559,5
560,5
561,1
562,4
563,4
564,5
565,2
566,1
567,2
568,3
569,2
570,4
571,3
572,3
573,2
574,2
575,1
576,5
577,4
578,4
579,4
580,5
581,5
582,1
583,5
584,5
585,3
586,5
587,4
588,2
589,4
590,5
591,5
592,2
593,4
594,4
595,4
596,5
597,1
598,5
599,5
600,2
601,3
602,4
603,3
604,4
605,1
606,4
607,1
608,5
609,5
610,2
611,5
612,1
613,4
614,3
615,4
616,2
617,4
618,1
619,5
620,5
621,5
622,4
623,3
624,4
625,5
626,2
627,4
628,1
629,3
630,5
631,2
632,4
633,1
634,4
635,4
636,4
637,1
638,2
639,2
640,4
641,4
642,4
643,2
644,2
645,3
646,3
647,1
648,1
649,4
650,2
651,3
652,4
653,1
654,4
655,3
656,1
657,4
658,2
659,5
660,5
661,2
662,3
663,1
664,2
665,5
666,3
667,1
668,3
669,5
670,3
671,2
672,5
673,5
674,5
675,1
676,1
677,2
678,5
679,5
680,1
681,4
682,2
683,1
684,3
685,5
686,4
687,3
688,4
689,5
690,2
691,3
692,5
693,4
694,3
695,3
696,1
697,4
698,3
699,2
700,2
701,4
702,4
703,2
704,2
705,5
706,5
707,4
708,1
709,1
710,3
711,5
712,4
713,2
714,4
715,5
716,5
717,3
718,3
719,2
720,2
721,2
722,3
723,4
724,5
725,3
726,1
727,3
728,5
729,4
730,2
731,5
732,5
733,5
734,2
735,3
736,5
737,4
738,2
739,1
740,4
741,1
742,1
743,5
744,2
745,5
746,4
747,5
748,4
749,5
750,2
751,3
752,1
753,1
754,2
755,4
756,2
757,5
758,4
759,1
760,2
761,5
762,5
763,1
764,3
765,2
766,3
767,5
768,1
769,4
770,1
771,4
772,4
773,1
774,1
775,5
776,5
777,1
778,3
779,4
780,3
781,2
782,5
783,4
784,3
785,5
786,3
787,2
788,3
789,4
790,1
791,2
792,4
793,5
794,4
795,5
796,2
797,4
798,2
799,2
800,3
801,5
802,4
803,2
804,2
805,3
806,4
807,4
808,3
809,1
810,4
811,4
812,4
813,2
814,2
815,2
816,4
817,2
818,4
819,1
820,5
821,2
822,2
823,4
824,2
825,3
826,4
827,4
828,5
829,1
830,4
831,4
832,5
833,5
834,1
835,4
836,1
837,5
838,2
839,2
840,3
841,5
842,4
843,4
844,4
845,4
846,4
847,5
848,3
849,2
850,1
851,5
852,3
853,1
854,1
855,4
856,5
857,5
858,1
859,5
860,1
861,1
862,4
863,3
864,5
865,5
866,1
867,1
868,1
869,2
870,5
871,5
872,1
873,1
874,3
875,5
876,4
877,5
878,3
879,2
880,1
881,1
882,5
883,4
884,1
885,2
886,4
887,4
888,2
889,3
890,1
891,4
892,4
893,5
894,1
895,2
896,1
897,3
898,3
899,1
900,5
901,3
902,3
903,1
904,3
905,4
906,2
907,2
908,5
909,3
910,2
911,3
912,4
913,1
914,1
915,4
916,5
917,4
918,5
919,1
920,4
921,3
922,2
923,5
924,5
925,5
926,4
927,1
928,5
929,1
930,3
931,5
932,4
933,5
934,3
935,3
936,2
937,5
938,5
939,2
940,5
941,1
942,1
943,1
