header,is_outcome,is_group_attribute,type,ordering
Disease,TRUE,FALSE,numeric,NA
Sex,FALSE,TRUE,categorical,NA
Age,FALSE,TRUE,categorical,NA
FastingBloodSugar_ge_120,FALSE,FALSE,numeric,NA
ExerciseAngina,FALSE,FALSE,numeric,NA
ChestPain_eq_typicalangina,FALSE,FALSE,numeric,NA
ChestPain_eq_asymptomatic,FALSE,FALSE,numeric,NA
ChestPain_eq_nonanginal,FALSE,FALSE,numeric,NA
ChestPain_eq_atypicalangina,FALSE,FALSE,numeric,NA
ExerciseSTPeakSlope_eq_Down,FALSE,FALSE,numeric,NA
ExerciseSTPeakSlope_eq_Flat,FALSE,FALSE,numeric,NA
ExerciseSTPeakSlope_eq_Up,FALSE,FALSE,numeric,NA
Thal_eq_FixedDefect,FALSE,FALSE,numeric,NA
Thal_eq_Normal,FALSE,FALSE,numeric,NA
Thal_eq_ReversableDefect,FALSE,FALSE,numeric,NA
RestECG_eq_likely_v_hypertrophy,FALSE,FALSE,numeric,NA
RestECG_eq_normal,FALSE,FALSE,numeric,NA
RestECG_eq_st_abnormality,FALSE,FALSE,numeric,NA
Cholesterol_lt_200,FALSE,FALSE,numeric,NA
Cholesterol_200_to_240,FALSE,FALSE,numeric,NA
Cholesterol_gt_240,FALSE,FALSE,numeric,NA
RestBP_Normal,FALSE,FALSE,numeric,NA
RestBP_PreHypertension,FALSE,FALSE,numeric,NA
RestBP_Hypertension_Stage_1,FALSE,FALSE,numeric,NA
RestBP_Hypertension_Stage_2,FALSE,FALSE,numeric,NA
RestBP_HypertensiveCrisis,FALSE,FALSE,numeric,NA
ExerciseSTDepression_geq_1,FALSE,FALSE,numeric,NA
ExerciseSTDepression_geq_2,FALSE,FALSE,numeric,NA
VesselsColored_gt_2,FALSE,FALSE,numeric,NA
Within10PercentageOfTargetMaxHR,FALSE,FALSE,numeric,NA
